name,latitude,longitude
Barbaros Hayrettin Türbesi,41.0419227,29.0068359
Kanburun Bahçesi,41.042587,29.0038953
Erbilgin Yalısı,41.1189172,29.0684191
Besteci Faik Canselen'in Evi,41.1188112,29.0641646
Yılanlı Sütun,41.0056649,28.9751101
Sabancı Üniversitesi Sakıp Sabancı Müzesi,41.106019,29.0556289
Çemberlitaş Hamamı,41.0085416,28.9716244
Siyavuşpaşa Kasrı,41.0005858,28.8514348
Belgrad Kapı,40.99983,28.920538
Silivrikapı,41.0060826,28.9218299
Askerî Müze,41.0488755,28.9882427
Miniatürk Açıkhava Müzesi,41.059005,28.9490675
BJK 100 Yıl Kartal Heykeli,41.0435474,29.0041967
Hatice Turhan Sultan Türbesi,41.0162025,28.9719047
Magnaura Sarayı,41.0054477,28.9796589
Osmanlı Bankası Müzesi,41.0238356,28.9736169
Istanbul Photography Museum,41.0046397,28.967754
Ancient Hippodrome Substructure,41.004072,28.973413
Milyon Taşı,41.0080674,28.9780181
Garipçe Kalesi,41.2140768,29.1106021
Pompeus Sütunu / Roke Kayalıkları,41.23394,29.1157573
Rumeli Kavağı Tabyaları,41.1820279,29.0746658
Ancient Roman Ruins,41.0010689,28.6905849
Büyükçekmece Kervansaray (Kurşunlu Han),41.0219982,28.5757305
Cumhuriyet Anıtı,41.0369723,28.9851248
Sadun Oda Boro Heykeli,40.9766053,29.0411538
Lefter Küçükandonyadis Heykeli,40.9864334,29.0339763
Yunus Emre Heykeli,40.9852779,29.0336422
Süreyya İlmen Heykeli,40.9869314,29.0337289
Atatürk Anıtı,40.980354,29.0239767
Osmanlı Hamam Kalıntısı,40.987487,29.028564
Atatürk Anıtı,40.9812845,29.0211319
2. Abdülhamit Anıtı,41.0017691,29.0071158
Fazıl Hüsnü Dağlarca Heykeli,40.9790323,29.0397211
Osman Hamdi Bey Heykeli,40.9800644,29.0387997
Aslı Nemutlu Heykeli,40.9796099,29.0392155
Binbirdirek Sarnıcı,41.007606,28.9744173
St. George's Anglikan Kilisesi,41.1909401,28.9623135
Vecihi Hürkuş Heykeli,40.9843724,29.0392821
Filiboz Antik Bizans kasabası,41.1261093,28.7018667
Devlet baba türbesi,41.1540243,28.6757334
Atatürk Anıtı,41.2464998,29.0369322
Atatürk Heykeli,40.9597526,29.190948
Seyit Onbaşı Heykeli,40.959791,29.1918835
Boğa Heykeli,40.9904912,29.0292074
Fransız Kültür Merkezi,41.0362806,28.9841655
