Mekan_Adi,Enlem,Boylam,Kategori
Barbaros Hayrettin Türbesi,41.0419227,29.0068359,Turistik Yer
Kanburun Bahçesi,41.042587,29.0038953,Turistik Yer
Erbilgin Yalısı,41.1189172,29.0684191,Turistik Yer
Besteci Faik Canselen'in Evi,41.1188112,29.0641646,Turistik Yer
Yılanlı Sütun,41.0056649,28.9751101,Turistik Yer
Sabancı Üniversitesi Sakıp Sabancı Müzesi,41.106019,29.0556289,Turistik Yer
Çemberlitaş Hamamı,41.0085416,28.9716244,Turistik Yer
Siyavuşpaşa Kasrı,41.0005858,28.8514348,Turistik Yer
Belgrad Kapı,40.99983,28.920538,Turistik Yer
Silivrikapı,41.0060826,28.9218299,Turistik Yer
Askerî Müze,41.0488755,28.9882427,Turistik Yer
Miniatürk Açıkhava Müzesi,41.059005,28.9490675,Turistik Yer
BJK 100 Yıl Kartal Heykeli,41.0435474,29.0041967,Turistik Yer
Hatice Turhan Sultan Türbesi,41.0162025,28.9719047,Turistik Yer
Magnaura Sarayı,41.0054477,28.9796589,Turistik Yer
Osmanlı Bankası Müzesi,41.0238356,28.9736169,Turistik Yer
Istanbul Photography Museum,41.0046397,28.967754,Turistik Yer
Ancient Hippodrome Substructure,41.004072,28.973413,Turistik Yer
Milyon Taşı,41.0080674,28.9780181,Turistik Yer
Garipçe Kalesi,41.2140768,29.1106021,Turistik Yer
Pompeus Sütunu / Roke Kayalıkları,41.23394,29.1157573,Turistik Yer
Rumeli Kavağı Tabyaları,41.1820279,29.0746658,Turistik Yer
Ancient Roman Ruins,41.0010689,28.6905849,Turistik Yer
Büyükçekmece Kervansaray (Kurşunlu Han),41.0219982,28.5757305,Turistik Yer
Cumhuriyet Anıtı,41.0369723,28.9851248,Turistik Yer
Sadun Oda Boro Heykeli,40.9766053,29.0411538,Turistik Yer
Lefter Küçükandonyadis Heykeli,40.9864334,29.0339763,Turistik Yer
Yunus Emre Heykeli,40.9852779,29.0336422,Turistik Yer
Süreyya İlmen Heykeli,40.9869314,29.0337289,Turistik Yer
Atatürk Anıtı,40.980354,29.0239767,Turistik Yer
Osmanlı Hamam Kalıntısı,40.987487,29.028564,Turistik Yer
2. Abdülhamit Anıtı,41.0017691,29.0071158,Turistik Yer
Fazıl Hüsnü Dağlarca Heykeli,40.9790323,29.0397211,Turistik Yer
Osman Hamdi Bey Heykeli,40.9800644,29.0387997,Turistik Yer
Aslı Nemutlu Heykeli,40.9796099,29.0392155,Turistik Yer
Binbirdirek Sarnıcı,41.007606,28.9744173,Turistik Yer
St. George's Anglikan Kilisesi,41.1909401,28.9623135,Turistik Yer
Vecihi Hürkuş Heykeli,40.9843724,29.0392821,Turistik Yer
Filiboz Antik Bizans kasabası,41.1261093,28.7018667,Turistik Yer
Devlet baba türbesi,41.1540243,28.6757334,Turistik Yer
Atatürk Heykeli,40.9597526,29.190948,Turistik Yer
Seyit Onbaşı Heykeli,40.959791,29.1918835,Turistik Yer
Boğa Heykeli,40.9904912,29.0292074,Turistik Yer
Fransız Kültür Merkezi,41.0362806,28.9841655,Turistik Yer
Manifaturaci Draper,41.0148075,28.9710909,Turistik Yer
Kıztaşı,41.0154411,28.9502846,Turistik Yer
Atatürk,41.0150527,28.9768215,Turistik Yer
Yıldız Seramik Fabrikası,41.0482849,29.0188194,Turistik Yer
Fatih Sultan Mehmet Anıtı,41.0155727,28.9542189,Turistik Yer
Hava Şehitleri Anıtı,41.0160748,28.9526349,Turistik Yer
Adam Mickiewicz Müzesi,41.0387821,28.9771474,Turistik Yer
Hamal,41.0144875,28.9729077,Turistik Yer
Masumiyet Müzesi,41.0308716,28.9797952,Turistik Yer
Mithat Paşa,41.0042194,28.9733768,Turistik Yer
Halı Müzesi,41.0056817,28.9786693,Turistik Yer
Koca Sinan Paşa Külliyesi,41.0088088,28.9690637,Turistik Yer
Kara Mustafa Paşa Külliyesi,41.0087157,28.9677599,Turistik Yer
Atik Ali Paşa Medresesi,41.0084081,28.9699808,Turistik Yer
Bayram Paşa Külliyesi,41.0087737,28.9423415,Turistik Yer
Galatasaray Müzesi,41.0334816,28.9769398,Turistik Yer
Yedi Kule Hisarı Müzesi,40.9935689,28.9239308,Turistik Yer
Sevda Tepesi,41.075268,29.0653173,Turistik Yer
Muzeum Adama Mickiewicza,41.0387821,28.9771474,Turistik Yer
Kartonpiyer Müzesi,41.029581,28.9789875,Turistik Yer
Süvari Birliği Nalbanthanesi,41.1085896,29.0106977,Turistik Yer
Panorama Zafer Müzesi,41.0607508,28.947846,Turistik Yer
Ahmet Adnan Saygun Heykeli,41.0685915,29.0299016,Turistik Yer
Akatlar Kültür Merkezi,41.0804147,29.0276006,Turistik Yer
Zindan baba Türbesi,41.0187867,28.9691768,Turistik Yer
Veliefendi Hipodrumu,40.98816,28.88538,Turistik Yer
Rüzgar Değirmeni,40.8829671,29.0892565,Turistik Yer
Yıldız Sarayı,41.0507108,29.0117042,Turistik Yer
Alibeyköy Mısır Heykeli,41.0748485,28.9467619,Turistik Yer
Tombili Heykeli,40.9889806,29.0418274,Turistik Yer
Kanuni Sultan Suleyman 1 Turbesi,41.0156999,28.9644663,Turistik Yer
Hurrem Haseki (Roksolana) Turbesi,41.0156683,28.9648085,Turistik Yer
Molla Gurani Turbesi,41.0110693,28.9418324,Turistik Yer
Kartallı Kazım Anıtı,40.8962861,29.185872,Turistik Yer
